Time,Fuse_MCCB,MCCB,Fuse,HCB,SSCB
1.5742642026009581,5.562674487702424e-8,2.78969108402638e-6,7.062742344299267e-7,6.512481883769183e-7,5.522858137485542e-8
1.6427104722792607,5.6546380133859486e-8,2.808133914733446e-6,7.170346726370624e-7,6.542286885569126e-7,5.614756060090542e-8
1.7111567419575633,5.750834219941936e-8,2.827958861750801e-6,7.286217300617182e-7,6.57401221682008e-7,5.7108808459993554e-8
1.7796030116358659,5.8513051182096376e-8,2.849203912247411e-6,7.410611879699047e-7,6.607694080784654e-7,5.8112743506200104e-8
1.8480492813141685,5.9560934517755015e-8,2.8719065948701328e-6,7.543785964791994e-7,6.643368150038853e-7,5.9159792398233435e-8
1.9164955509924708,6.065242375008495e-8,2.89610399306639e-6,7.68599276557147e-7,6.681069553149399e-7,6.025038512547098e-8
1.9849418206707734,6.178795430855644e-8,2.9218327610713857e-6,7.837483254613531e-7,6.720832913531538e-7,6.138495600715999e-8
2.0533880903490758,6.296796195570664e-8,2.949129132123751e-6,7.99850616850506e-7,6.762692328354802e-7,6.256393980663688e-8
2.1218343600273784,6.419288300918424e-8,2.9780289295677775e-6,8.169308031158451e-7,6.806681397408809e-7,6.378777139826042e-8
2.190280629705681,6.546315434174943e-8,3.008567576290311e-6,8.350133183787634e-7,6.852833247528167e-7,6.505688654456776e-8
2.2587268993839835,6.677920638686885e-8,3.040780096164042e-6,8.541223719404911e-7,6.901180473750657e-7,6.637171456880253e-8
2.327173169062286,6.814147079925448e-8,3.0747011272591607e-6,8.74281957718992e-7,6.951755240347524e-7,6.773268623749829e-8
2.3956194387405887,6.955037257228014e-8,3.110364918845754e-6,8.955158442569555e-7,7.004589206438538e-7,6.914022532278352e-8
2.4640657084188913,7.100633436785131e-8,3.1478053398315e-6,9.178475800508679e-7,7.059713597046269e-7,7.059475315429609e-8
2.532511978097194,7.25097714093792e-8,3.187055877429401e-6,9.413004858904728e-7,7.117159149805374e-7,7.209668428931337e-8
2.600958247775496,7.406109725494048e-8,3.2281496423758327e-6,9.658976591886415e-7,7.176956193788442e-7,7.364643095364443e-8
2.6694045174537986,7.566071391629237e-8,3.2711193614920475e-6,9.916619604366517e-7,7.239134555137028e-7,7.524439404882344e-8
2.737850787132101,7.730902085167912e-8,3.3159973857888048e-6,1.0186160204206374e-6,7.303723662532846e-7,7.689097236696085e-8
2.8062970568104038,7.900640952573923e-8,3.3628156836940093e-6,1.046782229341403e-6,7.370752485025278e-7,7.858655604042752e-8
2.8747433264887063,8.075326285439388e-8,3.411605838943288e-6,1.0761827334837548e-6,7.440249558676726e-7,8.033152731901083e-8
2.943189596167009,8.254995720324843e-8,3.4623990486926104e-6,1.1068394309976526e-6,7.512242983231943e-7,8.212626112502619e-8
3.0116358658453115,8.439686072225783e-8,3.515226119410464e-6,1.1387739664581176e-6,7.586760440991824e-7,8.397112494229475e-8
