Time,Left_Fuse_MCCB,Left_MCCB,Left_Fuse,Left_HCB,Left_SSCB,Right_Fuse_MCCB,Right_MCCB,Right_Fuse,Right_HCB,Right_SSCB
0.0,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15
0.06844626967830253,4.550545396053707e-8,1.2011969752201423e-6,4.795694683590312e-7,2.776251312175404e-7,4.530773323185855e-8,4.5505457513250747e-8,1.4928432954253168e-6,1.886679558138482e-7,3.938582103790722e-7,4.530773323185855e-8
0.13689253935660506,4.573008971497927e-8,1.200915589194551e-6,4.795527300816005e-7,2.777445740065332e-7,4.5532495773770165e-8,4.5730129127896646e-8,1.4926980950180635e-6,1.8886373542859047e-7,3.939960520060737e-7,4.5532495773770165e-8
0.2053388090349076,4.5683180793787415e-8,1.2004345179006393e-6,4.79318495560932e-7,2.776023581008147e-7,4.548570786688799e-8,4.568325806530993e-8,1.492433030270135e-6,1.8883499264266135e-7,3.9388639938575665e-7,4.548570786688799e-8
0.2737850787132101,4.5729183661968875e-8,1.200156254821394e-6,4.792611438819705e-7,2.7756799803047016e-7,4.553182320066185e-8,4.572930112356488e-8,1.492493927224281e-6,1.8897256492955705e-7,3.939060689850393e-7,4.553182320066185e-8
0.34223134839151265,4.584403912044621e-8,1.2000779615606305e-6,4.793767749422528e-7,2.7761981313823014e-7,4.564678124374666e-8,4.584420043585169e-8,1.4929043818945331e-6,1.8927088130116232e-7,3.9403680740512925e-7,4.564678124374666e-8
0.4106776180698152,4.601597669573465e-8,1.200207262797015e-6,4.796726236211413e-7,2.777481323823494e-7,4.581881030141233e-8,4.601618530664098e-8,1.4936965450074169e-6,1.8973569559932457e-7,3.9427196651953267e-7,4.581881030141233e-8
0.4791238877481177,4.6238344708626755e-8,1.2005555892757869e-6,4.80160185611922e-7,2.7794820811610776e-7,4.604125769525069e-8,4.623860461183682e-8,1.494904982246581e-6,1.9037715759395724e-7,3.9460953471515126e-7,4.604125769525069e-8
0.5475701574264202,4.650707219333583e-8,1.2011359472596794e-6,4.808528627497921e-7,2.7821772452529814e-7,4.631005123822973e-8,4.650738771871943e-8,1.496564755898433e-6,1.9120742433820226e-7,3.950497177163115e-7,4.631005123822973e-8
0.6160164271047228,4.6819553234378475e-8,1.201962003261059e-6,4.817649710275873e-7,2.785557146056661e-7,4.662258412668763e-8,4.681992893385001e-8,1.4987107175290504e-6,1.9223964586867481e-7,3.955938980837459e-7,4.662258412668763e-8
0.6844626967830253,4.7174079309542094e-8,1.2030476581603722e-6,4.82911259869212e-7,2.7896201282295863e-7,4.697714728330027e-8,4.717451995706057e-8,1.501377225099354e-6,1.9348747037906122e-7,3.96244121625422e-7,4.697714728330027e-8
0.7529089664613279,4.7569531314017865e-8,1.2044068407046638e-6,4.843066698789755e-7,2.794369641234695e-7,4.737262049303581e-8,4.75700423496761e-8,1.5045980461536601e-6,1.9496479075620243e-7,3.9700282694621336e-7,4.737262049303581e-8
0.8213552361396304,4.8005192154754184e-8,1.2060533985946975e-6,4.859661946188254e-7,2.799812468534668e-7,4.7808285663641925e-8,4.80057789076227e-8,1.5084063296200156e-6,1.9668559825269938e-7,3.978726875741856e-7,4.7808285663641925e-8
0.8898015058179329,4.848062906681605e-8,1.208001042862783e-6,4.879048046690926e-7,2.8059576551164866e-7,4.82837094750721e-8,4.848129708800997e-8,1.5128346144699378e-6,1.9866389933120843e-7,3.9885651603732697e-7,4.82837094750721e-8
0.9582477754962354,4.8995613899371904e-8,1.210263315454263e-6,4.901373981125445e-7,2.8128157791851294e-7,4.8798663221383265e-8,4.899636929511786e-8,1.5179148497024286e-6,2.0091366292884771e-7,3.999572029123044e-7,4.8798663221383265e-8
1.0266940451745379,4.955007470996975e-8,1.2128535807898189e-6,4.926787792181031e-7,2.8203985225072614e-7,4.93530738499004e-8,4.9550923475472075e-8,1.5236784269845316e-6,2.0344879347877765e-7,4.011776821855051e-7,4.93530738499004e-8
1.0951403148528405,5.014405535241906e-8,1.2157850186600427e-6,4.955436399001201e-7,2.8287183206909816e-7,4.994698488136606e-8,5.0145003815948996e-8,1.5301562087399745e-6,2.062831091498296e-7,4.025209024982601e-7,4.994698488136606e-8
1.163586584531143,5.0777688054282066e-8,1.2190706230041926e-6,4.987465500594368e-7,2.837788122267426e-7,5.0580527655164076e-8,5.077874287717776e-8,1.5373785564598563e-6,2.0943033096632035e-7,4.0398981016043223e-7,5.0580527655164076e-8
1.2320328542094456,5.1451174987171555e-8,1.2227232075723293e-6,5.023019551408936e-7,2.8476212476924445e-7,5.125390378779571e-8,5.145234305281576e-8,1.5453753604566245e-6,2.129040758136469e-7,4.055873386032971e-7,5.125390378779571e-8
1.300479123887748,5.216477372282924e-8,1.22675540992212e-6,5.062241748010621e-7,2.8582312638913976e-7,5.196737007384655e-8,5.216606191460471e-8,1.5541760656212489e-6,2.1671785510601893e-7,4.0731640127411595e-7,5.196737007384655e-8
1.3689253935660506,5.291878324431565e-8,1.231179695526663e-6,5.105274003547322e-7,2.8696318754573014e-7,5.2721225052287934e-8,5.292019855662744e-8,1.5638096926284817e-6,2.2088506845818756e-7,4.0917988330946287e-7,5.2721225052287934e-8
1.4373716632443532,5.37135379508058e-8,1.2360083654350262e-6,5.152256978835368e-7,2.881836882462352e-7,5.351580267820566e-8,5.371508804419278e-8,1.5743048621397193e-6,2.254190079042928e-7,4.111806413131802e-7,5.351580267820566e-8
1.5058179329226558,5.454939744353737e-8,1.2412535588257612e-6,5.203330065706169e-7,2.8948600949707526e-7,5.435146133159208e-8,5.4551089645471507e-8,1.585689809679991e-6,2.303328526798154e-7,4.133214971391297e-7,5.435146133159208e-8
1.5742642026009581,5.54267419738963e-8,1.2469272597792624e-6,5.258631426974247e-7,2.9087153141649225e-7,5.522858137485542e-8,5.542858427798336e-8,1.597992405621973e-6,2.3563967310735734e-7,4.156052383352815e-7,5.522858137485542e-8
1.6427104722792607,5.634597033399302e-8,1.2530413040501287e-6,5.318298016421252e-7,2.923416310141036e-7,5.614756060090542e-8,5.6347970400771885e-8,1.611240170951156e-6,2.4135243148482033e-7,4.1803461814371445e-7,5.614756060090542e-8
