Time,C1-Fuse_MCCB,C1-MCCB,C1-Fuse,C1-HCB,C1-SSCB,C2-Fuse_MCCB,C2-MCCB,C2-Fuse,C2-HCB,C2-SSCB,C3-Fuse_MCCB,C3-MCCB,C3-Fuse,C3-HCB,C3-SSCB,C4-Fuse_MCCB,C4-MCCB,C4-Fuse,C4-HCB,C4-SSCB,C5-Fuse_MCCB,C5-MCCB,C5-Fuse,C5-HCB,C5-SSCB
0.0,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15
0.06844626967830253,9.542104551718555e-5,9.802382661128206e-5,9.599821697681143e-5,9.600146258481601e-5,9.542065010970102e-5,0.00019073152500403978,0.00019333405800237013,0.00019130864144778492,0.0001913118867461483,0.00019073112963430283,0.00014308426269782348,0.0001456869197234978,0.00014366140664479055,0.00014366465209814105,0.0001430838673094348,4.774186878597764e-5,5.0344773990795844e-5,4.831906776725514e-5,4.832231353002481e-5,4.774147335984136e-5,9.542104551718555e-5,9.802382661128206e-5,9.599821697681143e-5,9.600146258481601e-5,9.542065010970102e-5
0.13689253935660506,9.540032869204129e-5,9.800223403055863e-5,9.597722992316093e-5,9.598055376669468e-5,9.539993350216047e-5,0.000190612948536506,0.000193214606116765,0.00019118979483390142,0.00019119311836113262,0.0001906125533840397,0.00014302276037292394,0.00014562454179056772,0.00014359963412813315,0.0001436029578134601,0.00014302236520202793,4.774563402187848e-5,5.0347663365202244e-5,4.832256274778235e-5,4.832588674996696e-5,4.774523881323489e-5,9.540032869204129e-5,9.800223403055863e-5,9.597722992316093e-5,9.598055376669468e-5,9.539993350216047e-5
0.2053388090349076,9.538807163189666e-5,9.798932470850286e-5,9.59648036891192e-5,9.596813864076736e-5,9.538767664662995e-5,0.00019050386927998986,0.0001931048749125308,0.00019108054647576367,0.00019108388110999908,0.00019050347433224868,0.00014297014455799673,0.0001455712738493986,0.00014354684917039506,0.0001435501839630593,0.00014296974959127073,4.775760823916286e-5,5.035898522653959e-5,4.83343677691872e-5,4.8337702879486244e-5,4.775721323513338e-5,9.538807163189666e-5,9.798932470850286e-5,9.59648036891192e-5,9.596813864076736e-5,9.538767664662995e-5
0.2737850787132101,9.538915857654207e-5,9.799010226752003e-5,9.596587880889018e-5,9.596911885834114e-5,9.53887637756834e-5,0.00019040821798566032,0.00019300891451401458,0.00019098488341307007,0.0001909881231547672,0.0001904078232223272,0.00014293090243455708,0.00014553172246078994,0.00014350759524583978,0.00014351083514119178,0.00014293050765246118,4.778291318141559e-5,5.038398070544847e-5,4.835966087179955e-5,4.8362901075460485e-5,4.7782518361683124e-5,9.538915857654207e-5,9.799010226752003e-5,9.596587880889018e-5,9.596911885834114e-5,9.53887637756834e-5
0.34223134839151265,9.54087690455685e-5,9.800981508356621e-5,9.598567344193398e-5,9.59886821193523e-5,9.54083744063583e-5,0.00019033117881772643,0.00019293197793424088,0.0001909080284476783,0.0001909110368393252,0.00019033078421581973,0.00014291021585899344,0.00014551113833149998,0.0001434870928491705,0.00014349010138337004,0.00014290982123832396,4.782672601810756e-5,5.042789583065144e-5,4.840365786740186e-5,4.8406666688038946e-5,4.7826331360023566e-5,9.54087690455685e-5,9.800981508356621e-5,9.598567344193398e-5,9.59886821193523e-5,9.54083744063583e-5
0.4106776180698152,9.545003690980547e-5,9.805166032728074e-5,9.602735798330819e-5,9.60299695135225e-5,9.54496424061535e-5,0.00019027589238496123,0.00019287726907757374,0.00019085315870814856,0.00019085576999078313,0.00019027549791872378,0.00014291122208431872,0.00014551272201368537,0.00014348851575463062,0.00014349112716105505,0.00014291082759942952,4.789217722400707e-5,5.049392438083444e-5,4.8469525756322795e-5,4.8472137411215144e-5,4.7891782701703356e-5,9.545003690980547e-5,9.805166032728074e-5,9.602735798330819e-5,9.60299695135225e-5,9.54496424061535e-5
0.4791238877481177,9.551590557355105e-5,9.811864069053655e-5,9.609391078035934e-5,9.609593098702796e-5,9.551551117736867e-5,0.00019024531001843314,0.00019284779855588408,0.0001908232604658222,0.00019082528048131042,0.00019024491565955426,0.0001429368684932042,0.00014553948017415053,0.0001435148462880509,0.00014351686639901828,0.00014293647411578458,4.798220621171634e-5,5.058506505806193e-5,4.856023889587835e-5,4.856225919869228e-5,4.798181179677119e-5,9.551590557355105e-5,9.811864069053655e-5,9.609391078035934e-5,9.609593098702796e-5,9.551551117736867e-5
0.5475701574264202,9.560917204398667e-5,9.821360937756207e-5,9.618816253620377e-5,9.61893695764493e-5,9.560877772474274e-5,0.0001902422377659807,0.0001928464286093945,0.00019082117346169714,0.00019082238038725663,0.0001902418434837072,0.00014298995662820335,0.00014559427054938734,0.0001435689196847001,0.00014357012666743607,0.0001429895623272781,4.8099605436280335e-5,5.0704166516868376e-5,4.867862343860274e-5,4.867983053602476e-5,4.809921109782955e-5,9.560917204398667e-5,9.821360937756207e-5,9.618816253620377e-5,9.61893695764493e-5,9.560877772474274e-5
0.6160164271047228,9.573251586680875e-5,9.833929965008537e-5,9.63128254691803e-5,9.631297045087361e-5,9.57321215907525e-5,0.00019026936527133387,0.00019287590259420284,0.0001908496200078158,0.00019084976497585338,0.00019026897103280316,0.00014307317109873985,0.00014567983146329677,0.00014365345322608913,0.0001436535982010101,0.00014307277684133535,4.824704935968427e-5,5.085395693937844e-5,4.882738652101093e-5,4.8827531509809674e-5,4.824665506519832e-5,9.573251586680875e-5,9.833929965008537e-5,9.63128254691803e-5,9.631297045087361e-5,9.57321215907525e-5
