time,unit,dcdc_state1,dcdc_state2,dcdc_state3
0.0,yr,1.0,0.0,0.0
0.0009126169290440336,yr,0.9999999999955693,0.0,0.0
0.0018252338580880673,yr,0.9999999999780129,0.0,0.0
0.002737850787132101,yr,0.9999999999438627,0.0,0.0
0.0036504677161761346,yr,0.9999999998908153,0.0,0.0
0.004563084645220168,yr,0.9999999998170547,0.0,0.0
0.005475701574264202,yr,0.9999999997210525,0.0,0.0
0.006388318503308236,yr,0.9999999996014721,0.0,0.0
0.007300935432352269,yr,0.9999999994571173,0.0,0.0
0.008213552361396302,yr,0.9999999992868982,0.0,0.0
0.009126169290440337,yr,0.9999999990898097,0.0,0.0
0.01003878621948437,yr,0.999999998864916,0.0,0.0
0.010951403148528403,yr,0.9999999986113386,0.0,0.0
0.011864020077572437,yr,0.9999999983282482,0.0,0.0
0.012776637006616472,yr,0.9999999980148571,0.0,0.0
0.013689253935660504,yr,0.9999999976704148,0.0,0.0
0.014601870864704538,yr,0.9999999972942024,0.0,0.0
0.015514487793748572,yr,0.99999999688553,0.0,0.0
0.016427104722792605,yr,0.9999999964437329,0.0,0.0
0.01733972165183664,yr,0.9999999959681698,0.0,0.0
0.018252338580880673,yr,0.9999999954582199,2.588481069600323e-10,0.0
0.019164955509924708,yr,0.9999999949132818,7.936287893751157e-10,0.0
0.02007757243896874,yr,0.9999999943327711,1.3628325598854342e-9,0.0
0.020990189368012772,yr,0.9999999937161219,1.9669587012056497e-9,0.0
0.021902806297056807,yr,0.9999999930628864,2.6064291559108774e-9,0.0
0.02281542322610084,yr,0.9999999923735031,3.2809274975920592e-9,0.0
0.023728040155144875,yr,0.9999999916513871,3.9872127175828724e-9,0.0
0.02464065708418891,yr,0.9999999909051662,4.716582639099689e-9,0.0
0.025553274013232943,yr,0.9999999901485361,5.454969365864184e-9,0.0
0.026465890942276974,yr,0.9999999893971669,6.1862587214510876e-9,0.0
0.027378507871321008,yr,0.9999999886647082,6.8964954443793335e-9,0.0
0.028291124800365042,yr,0.9999999879601056,7.57661841355269e-9,0.0
0.029203741729409077,yr,0.9999999872869623,8.223039868522561e-9,0.0
0.03011635865845311,yr,0.9999999866444294,8.83667273548901e-9,0.0
0.031028975587497145,yr,0.9999999860287352,9.421341482639067e-9,0.0
0.031941592516541176,yr,0.9999999854346806,9.982264609577674e-9,0.0
0.03285420944558521,yr,0.9999999848567602,1.0524927329090389e-8,0.0
0.033766826374629244,yr,0.999999984289859,1.1054394251135476e-8,0.0
0.03467944330367328,yr,0.9999999837295913,1.1574980050022402e-8,0.0
0.03559206023271731,yr,0.9999999831723985,1.209016112999102e-8,0.0
0.03650467716176135,yr,0.9999999826155044,1.2602624926094403e-8,0.0
0.03741729409080538,yr,0.9999999820568084,1.311438270417337e-8,0.0
0.038329911019849415,yr,0.9999999814947551,1.3626899913181533e-8,0.0
0.03924252794889345,yr,0.9999999809282131,1.414121940935218e-8,0.0
0.04015514487793748,yr,0.9999999803563696,1.4658066744136522e-8,0.0
0.04106776180698151,yr,0.9999999797786457,1.517793474078111e-8,0.0
0.041980378736025545,yr,0.9999999791946307,1.570114866124958e-8,0.0
0.04289299566506958,yr,0.999999978604034,1.622791494192553e-8,0.0
0.04380561259411361,yr,0.999999978006648,1.6758356840613527e-8,0.0
0.04471822952315765,yr,0.9999999774023229,1.729254007068638e-8,0.0
0.04563084645220168,yr,0.9999999767909489,1.7830490991357735e-8,0.0
0.046543463381245716,yr,0.9999999761724421,1.8372209379107904e-8,0.0
0.04745608031028975,yr,0.9999999755467357,1.8917677316533804e-8,0.0
0.048368697239333784,yr,0.9999999749137755,1.946686533310751e-8,0.0
0.04928131416837782,yr,0.9999999742735131,2.001973661926376e-8,0.0
0.05019393109742185,yr,0.9999999736259052,2.0576249899831762e-8,0.0
0.05110654802646589,yr,0.9999999729709099,2.113636138019469e-8,0.0
0.05201916495550992,yr,0.9999999723084869,2.1700026054259595e-8,0.0
0.05293178188455395,yr,0.9999999716385952,2.226719857503666e-8,0.0
0.05384439881359798,yr,0.9999999709611936,2.2837833826572442e-8,0.0
0.054757015742642016,yr,0.9999999702762403,2.3411887292710875e-8,0.0
0.05566963267168605,yr,0.9999999695836919,2.3989315288164905e-8,0.0
0.056582249600730085,yr,0.9999999688835033,2.4570075096694973e-8,0.0
0.05749486652977412,yr,0.9999999681756286,2.515412504697002e-8,0.0
0.05840748345881815,yr,0.9999999674600206,2.5741424546939797e-8,0.0
0.05932010038786219,yr,0.9999999667366304,2.6331934090879203e-8,0.0
0.06023271731690622,yr,0.9999999660054071,2.69256152487111e-8,0.0
0.061145334245950256,yr,0.9999999652662996,2.752243064410666e-8,0.0
0.06205795117499429,yr,0.999999964519255,2.8122343925745256e-8,0.0
0.06297056810403832,yr,0.9999999637642183,2.872531973467371e-8,0.0
0.06388318503308235,yr,0.9999999630011344,2.9331323669722938e-8,0.0
0.06479580196212639,yr,0.9999999622299462,2.994032225227505e-8,0.0
0.06570841889117042,yr,0.999999961450596,3.055228289121921e-8,0.0
0.06662103582021446,yr,0.9999999606630243,3.116717384863131e-8,0.0
0.06753365274925849,yr,0.9999999598671705,3.178496420650282e-8,0.0
0.06844626967830253,yr,0.9999999590629735,3.240562383470822e-8,0.0
0.06935888660734656,yr,0.9999999582503707,3.302912336030604e-8,0.0
0.07027150353639058,yr,0.999999957429299,3.365543413820856e-8,0.0
0.07118412046543462,yr,0.9999999565996931,3.428452822321462e-8,1.017270795064661e-10
0.07209673739447865,yr,0.9999999557614885,3.491637834337649e-8,3.0812587661706973e-10
